payload_size,metric,segment,protocol,percentile,value,unit
10mb,throughput_bytes_per_second,gateway_to_worker,rest,99,949.76,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,grpc,50,214.42,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,grpc,95,465.6,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,grpc,99,502.72,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,rest,50,394.26,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,rest,95,776.53,MB/s
10mb,throughput_bytes_per_second,worker_to_gateway,rest,99,974.51,MB/s
50mb,cpu_usage_ratio,client_to_gateway,grpc,50,2.25,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,grpc,95,2.48,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,grpc,99,2.5,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,rest,50,1.69,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,rest,95,2.14,ratio/core
50mb,cpu_usage_ratio,client_to_gateway,rest,99,2.43,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,grpc,50,1.64,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,grpc,95,1.96,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,grpc,99,1.99,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,rest,50,0.0,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,rest,95,2.64,ratio/core
50mb,cpu_usage_ratio,gateway_to_client,rest,99,2.93,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,grpc,50,2.28,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,grpc,95,2.76,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,grpc,99,2.95,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,rest,50,2.21,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,rest,95,2.47,ratio/core
50mb,cpu_usage_ratio,gateway_to_worker,rest,99,2.49,ratio/core
50mb,latency_seconds,client_to_gateway,grpc,50,172.5,ms
50mb,latency_seconds,client_to_gateway,grpc,95,271.77,ms
50mb,latency_seconds,client_to_gateway,grpc,99,287.9,ms
50mb,latency_seconds,client_to_gateway,rest,50,79.8,ms
50mb,latency_seconds,client_to_gateway,rest,95,127.91,ms
50mb,latency_seconds,client_to_gateway,rest,99,177.5,ms
50mb,latency_seconds,gateway_to_client,grpc,50,47.22,ms
50mb,latency_seconds,gateway_to_client,grpc,95,65.59,ms
50mb,latency_seconds,gateway_to_client,grpc,99,82.32,ms
50mb,latency_seconds,gateway_to_client,rest,50,6.73,ms
50mb,latency_seconds,gateway_to_client,rest,95,19.44,ms
50mb,latency_seconds,gateway_to_client,rest,99,24.39,ms
50mb,latency_seconds,gateway_to_worker,grpc,50,168.94,ms
50mb,latency_seconds,gateway_to_worker,grpc,95,263.71,ms
50mb,latency_seconds,gateway_to_worker,grpc,99,286.29,ms
50mb,latency_seconds,gateway_to_worker,rest,50,102.74,ms
50mb,latency_seconds,gateway_to_worker,rest,95,148.4,ms
50mb,latency_seconds,gateway_to_worker,rest,99,186.06,ms
50mb,latency_seconds,worker_to_gateway,grpc,50,38.04,ms
50mb,latency_seconds,worker_to_gateway,grpc,95,55.68,ms
50mb,latency_seconds,worker_to_gateway,grpc,99,57.27,ms
50mb,latency_seconds,worker_to_gateway,rest,50,15.24,ms
50mb,latency_seconds,worker_to_gateway,rest,95,24.08,ms
50mb,latency_seconds,worker_to_gateway,rest,99,25.32,ms
50mb,memory_usage_bytes,client_to_gateway,grpc,50,97.2,MB
50mb,memory_usage_bytes,client_to_gateway,grpc,95,127.09,MB
50mb,memory_usage_bytes,client_to_gateway,grpc,99,225.53,MB
50mb,memory_usage_bytes,client_to_gateway,rest,50,384.0,MB
50mb,memory_usage_bytes,client_to_gateway,rest,95,499.2,MB
50mb,memory_usage_bytes,client_to_gateway,rest,99,509.44,MB
50mb,memory_usage_bytes,gateway_to_client,grpc,50,132.48,MB
50mb,memory_usage_bytes,gateway_to_client,grpc,95,243.65,MB
50mb,memory_usage_bytes,gateway_to_client,grpc,99,253.53,MB
50mb,memory_usage_bytes,gateway_to_client,rest,50,225.68,MB
50mb,memory_usage_bytes,gateway_to_client,rest,95,474.88,MB
50mb,memory_usage_bytes,gateway_to_client,rest,99,504.58,MB
50mb,memory_usage_bytes,gateway_to_worker,grpc,50,192.0,MB
50mb,memory_usage_bytes,gateway_to_worker,grpc,95,249.6,MB
50mb,memory_usage_bytes,gateway_to_worker,grpc,99,254.72,MB
50mb,memory_usage_bytes,gateway_to_worker,rest,50,192.0,MB
50mb,memory_usage_bytes,gateway_to_worker,rest,95,249.6,MB
50mb,memory_usage_bytes,gateway_to_worker,rest,99,254.72,MB
50mb,throughput_bytes_per_second,client_to_gateway,grpc,50,343.37,MB/s
50mb,throughput_bytes_per_second,client_to_gateway,grpc,95,495.14,MB/s
50mb,throughput_bytes_per_second,client_to_gateway,grpc,99,508.63,MB/s
50mb,throughput_bytes_per_second,client_to_gateway,rest,50,733.09,MB/s
50mb,throughput_bytes_per_second,client_to_gateway,rest,95,1305.6,MB/s
50mb,throughput_bytes_per_second,client_to_gateway,rest,99,1899.52,MB/s
50mb,throughput_bytes_per_second,gateway_to_client,grpc,50,306.01,MB/s
50mb,throughput_bytes_per_second,gateway_to_client,grpc,95,491.4,MB/s
50mb,throughput_bytes_per_second,gateway_to_client,grpc,99,507.88,MB/s
50mb,throughput_bytes_per_second,gateway_to_client,rest,50,1476.98,MB/s
50mb,throughput_bytes_per_second,gateway_to_client,rest,95,1990.9,MB/s
50mb,throughput_bytes_per_second,gateway_to_client,rest,99,2036.58,MB/s
50mb,throughput_bytes_per_second,gateway_to_worker,grpc,50,357.39,MB/s
50mb,throughput_bytes_per_second,gateway_to_worker,grpc,95,496.54,MB/s
50mb,throughput_bytes_per_second,gateway_to_worker,grpc,99,508.91,MB/s
50mb,throughput_bytes_per_second,gateway_to_worker,rest,50,560.0,MB/s
50mb,throughput_bytes_per_second,gateway_to_worker,rest,95,977.6,MB/s
50mb,throughput_bytes_per_second,gateway_to_worker,rest,99,1014.72,MB/s
50mb,throughput_bytes_per_second,worker_to_gateway,grpc,50,357.33,MB/s
50mb,throughput_bytes_per_second,worker_to_gateway,grpc,95,496.53,MB/s
50mb,throughput_bytes_per_second,worker_to_gateway,grpc,99,508.91,MB/s
50mb,throughput_bytes_per_second,worker_to_gateway,rest,50,758.15,MB/s
50mb,throughput_bytes_per_second,worker_to_gateway,rest,95,1015.14,MB/s
50mb,throughput_bytes_per_second,worker_to_gateway,rest,99,1751.04,MB/s
100mb,cpu_usage_ratio,client_to_gateway,grpc,50,2.24,ratio/core
100mb,cpu_usage_ratio,client_to_gateway,grpc,95,2.47,ratio/core
100mb,cpu_usage_ratio,client_to_gateway,grpc,99,2.49,ratio/core
100mb,cpu_usage_ratio,client_to_gateway,rest,50,1.75,ratio/core
100mb,cpu_usage_ratio,client_to_gateway,rest,95,1.98,ratio/core
100mb,cpu_usage_ratio,client_to_gateway,rest,99,2.0,ratio/core
100mb,cpu_usage_ratio,gateway_to_client,grpc,50,1.32,ratio/core
100mb,cpu_usage_ratio,gateway_to_client,grpc,95,1.9,ratio/core
100mb,cpu_usage_ratio,gateway_to_client,grpc,99,1.98,ratio/core
100mb,cpu_usage_ratio,gateway_to_client,rest,50,1.16,ratio/core
100mb,cpu_usage_ratio,gateway_to_client,rest,95,1.49,ratio/core
100mb,cpu_usage_ratio,gateway_to_client,rest,99,2.86,ratio/core
100mb,cpu_usage_ratio,gateway_to_worker,grpc,50,2.25,ratio/core
100mb,cpu_usage_ratio,gateway_to_worker,grpc,95,2.48,ratio/core
100mb,cpu_usage_ratio,gateway_to_worker,grpc,99,2.5,ratio/core
100mb,cpu_usage_ratio,gateway_to_worker,rest,50,1.75,ratio/core
100mb,cpu_usage_ratio,gateway_to_worker,rest,95,1.99,ratio/core
100mb,cpu_usage_ratio,gateway_to_worker,rest,99,2.36,ratio/core
100mb,latency_seconds,client_to_gateway,grpc,50,376.67,ms
100mb,latency_seconds,client_to_gateway,grpc,95,624.27,ms
100mb,latency_seconds,client_to_gateway,grpc,99,3003.82,ms
100mb,latency_seconds,client_to_gateway,rest,50,115.02,ms
100mb,latency_seconds,client_to_gateway,rest,95,248.14,ms
100mb,latency_seconds,client_to_gateway,rest,99,395.56,ms
100mb,latency_seconds,gateway_to_client,grpc,50,75.86,ms
100mb,latency_seconds,gateway_to_client,grpc,95,248.14,ms
100mb,latency_seconds,gateway_to_client,grpc,99,1335.03,ms
100mb,latency_seconds,gateway_to_client,rest,50,11.26,ms
100mb,latency_seconds,gateway_to_client,rest,95,29.15,ms
100mb,latency_seconds,gateway_to_client,rest,99,36.59,ms
100mb,latency_seconds,gateway_to_worker,grpc,50,354.98,ms
100mb,latency_seconds,gateway_to_worker,grpc,95,498.1,ms
100mb,latency_seconds,gateway_to_worker,grpc,99,625.09,ms
100mb,latency_seconds,gateway_to_worker,rest,50,168.96,ms
100mb,latency_seconds,gateway_to_worker,rest,95,332.07,ms
100mb,latency_seconds,gateway_to_worker,rest,99,416.73,ms
100mb,latency_seconds,worker_to_gateway,grpc,50,62.84,ms
100mb,latency_seconds,worker_to_gateway,grpc,95,109.03,ms
100mb,latency_seconds,worker_to_gateway,grpc,99,125.6,ms
100mb,latency_seconds,worker_to_gateway,rest,50,23.61,ms
100mb,latency_seconds,worker_to_gateway,rest,95,55.57,ms
100mb,latency_seconds,worker_to_gateway,rest,99,117.2,ms
100mb,memory_usage_bytes,client_to_gateway,grpc,50,384.13,MB
100mb,memory_usage_bytes,client_to_gateway,grpc,95,499.44,MB
100mb,memory_usage_bytes,client_to_gateway,grpc,99,509.69,MB
100mb,memory_usage_bytes,client_to_gateway,rest,50,768.0,MB
100mb,memory_usage_bytes,client_to_gateway,rest,95,998.4,MB
100mb,memory_usage_bytes,client_to_gateway,rest,99,1018.88,MB
100mb,memory_usage_bytes,gateway_to_client,grpc,50,384.0,MB
100mb,memory_usage_bytes,gateway_to_client,grpc,95,499.2,MB
100mb,memory_usage_bytes,gateway_to_client,grpc,99,509.44,MB
100mb,memory_usage_bytes,gateway_to_client,rest,50,758.86,MB
100mb,memory_usage_bytes,gateway_to_client,rest,95,997.49,MB
100mb,memory_usage_bytes,gateway_to_client,rest,99,1018.7,MB
100mb,memory_usage_bytes,gateway_to_worker,grpc,50,384.0,MB
100mb,memory_usage_bytes,gateway_to_worker,grpc,95,499.2,MB
100mb,memory_usage_bytes,gateway_to_worker,grpc,99,509.44,MB
100mb,memory_usage_bytes,gateway_to_worker,rest,50,384.0,MB
100mb,memory_usage_bytes,gateway_to_worker,rest,95,499.2,MB
100mb,memory_usage_bytes,gateway_to_worker,rest,99,509.44,MB
100mb,throughput_bytes_per_second,client_to_gateway,grpc,50,350.61,MB/s
100mb,throughput_bytes_per_second,client_to_gateway,grpc,95,495.86,MB/s
100mb,throughput_bytes_per_second,client_to_gateway,grpc,99,508.77,MB/s
100mb,throughput_bytes_per_second,client_to_gateway,rest,50,768.01,MB/s
100mb,throughput_bytes_per_second,client_to_gateway,rest,95,1305.6,MB/s
100mb,throughput_bytes_per_second,client_to_gateway,rest,99,1899.52,MB/s
100mb,throughput_bytes_per_second,gateway_to_client,grpc,50,343.27,MB/s
100mb,throughput_bytes_per_second,gateway_to_client,grpc,95,495.13,MB/s
100mb,throughput_bytes_per_second,gateway_to_client,grpc,99,508.63,MB/s
100mb,throughput_bytes_per_second,gateway_to_client,rest,50,1580.54,MB/s
100mb,throughput_bytes_per_second,gateway_to_client,rest,95,3353.6,MB/s
100mb,throughput_bytes_per_second,gateway_to_client,rest,99,3947.52,MB/s
100mb,throughput_bytes_per_second,gateway_to_worker,grpc,50,369.23,MB/s
100mb,throughput_bytes_per_second,gateway_to_worker,grpc,95,497.72,MB/s
100mb,throughput_bytes_per_second,gateway_to_worker,grpc,99,509.14,MB/s
100mb,throughput_bytes_per_second,gateway_to_worker,rest,50,714.67,MB/s
100mb,throughput_bytes_per_second,gateway_to_worker,rest,95,993.07,MB/s
100mb,throughput_bytes_per_second,gateway_to_worker,rest,99,1017.81,MB/s
100mb,throughput_bytes_per_second,worker_to_gateway,grpc,50,369.23,MB/s
100mb,throughput_bytes_per_second,worker_to_gateway,grpc,95,497.72,MB/s
100mb,throughput_bytes_per_second,worker_to_gateway,grpc,99,509.14,MB/s
100mb,throughput_bytes_per_second,worker_to_gateway,rest,50,794.95,MB/s
100mb,throughput_bytes_per_second,worker_to_gateway,rest,95,1800.53,MB/s
100mb,throughput_bytes_per_second,worker_to_gateway,rest,99,1998.51,MB/s
