Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,453.83,962.95,1011.79,176.64,248.06,254.41,0.39,0.26,0.25
Gateway ke Worker,291.56,489.96,507.59,201.48,412.80,492.16,0.69,0.84,0.97
Worker ke Gateway,328.05,825.60,984.32,173.73,313.60,472.32,0.53,0.38,0.48
Gateway ke Client,947.22,1934.63,2025.33,176.65,248.06,254.41,0.19,0.13,0.13
