Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,81.60,123.36,127.07,48.70,63.73,112.75,0.60,0.52,0.89
Gateway ke Worker,48.00,62.40,63.68,49.19,81.60,118.72,1.02,1.31,1.86
Worker ke Gateway,—,—,—,—,—,—,—,—,—
Gateway ke Client,96.00,124.80,127.36,52.17,112.53,124.91,0.54,0.90,0.98
