Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,115.02,248.14,395.56,376.67,624.27,3003.82,3.27,2.52,7.59
Gateway ke Worker,168.96,332.07,416.73,354.98,498.10,625.09,2.10,1.50,1.50
Worker ke Gateway,23.61,55.57,117.20,62.84,109.03,125.60,2.66,1.96,1.07
Gateway ke Client,11.26,29.15,36.59,75.86,248.14,1335.03,6.74,8.51,36.49
