Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,22.92,208.75,422.50,71.30,97.13,99.43,3.11,0.47,0.24
Gateway ke Worker,41.15,172.50,234.50,46.53,94.05,98.82,1.13,0.55,0.42
Worker ke Gateway,8.09,74.17,94.83,15.54,24.64,42.25,1.92,0.33,0.45
Gateway ke Client,2.98,20.88,42.25,16.94,24.69,2035.00,5.68,1.18,48.17
