Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,2.13,2.85,2.97,2.18,2.76,2.95,1.02,0.97,0.99
Gateway ke Worker,1.95,2.96,3.35,2.45,2.98,3.35,1.26,1.01,1.00
Worker ke Gateway,—,—,—,—,—,—,—,—,—
Gateway ke Client,0.00,9.14,9.43,1.68,2.89,3.35,—,0.32,0.36
