Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,384.00,499.20,509.44,96.00,124.81,127.37,0.25,0.25,0.25
Gateway ke Worker,192.00,249.60,254.72,192.00,249.60,254.72,1.00,1.00,1.00
Worker ke Gateway,—,—,—,—,—,—,—,—,—
Gateway ke Client,384.00,499.20,509.44,122.00,241.72,253.14,0.32,0.48,0.50
