Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,733.09,1305.60,1899.52,343.37,495.14,508.63,0.47,0.38,0.27
Gateway ke Worker,560.00,977.60,1014.72,357.39,496.54,508.91,0.64,0.51,0.50
Worker ke Gateway,758.15,1015.14,1751.04,357.33,496.53,508.91,0.47,0.49,0.29
Gateway ke Client,1476.98,1990.90,2036.58,306.01,491.40,507.88,0.21,0.25,0.25
