Segmen,REST P50,REST P95,REST P99,gRPC P50,gRPC P95,gRPC P99,Rasio P50,Rasio P95,Rasio P99
Client ke Gateway,1.69,2.14,2.43,2.25,2.48,2.50,1.33,1.16,1.03
Gateway ke Worker,2.21,2.47,2.49,2.28,2.76,2.95,1.03,1.12,1.18
Worker ke Gateway,—,—,—,—,—,—,—,—,—
Gateway ke Client,0.00,2.64,2.93,1.64,1.96,1.99,—,0.74,0.68
